Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sun-candle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/IMG_3246.jpg?v=1650309310,5,Candles of Wisdom - Sun Candle,,,,,,,,,,,,,,,,,,,,,
sun-candle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom_Coin_of_Wisdom_9ef6a14a-489d-4121-a16e-443289f8e2b6.jpg?v=1650309310,6,,,,,,,,,,,,,,,,,,,,,,
sun-candle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Sun-Candle-Verpackung.jpg?v=1650309310,7,,,,,,,,,,,,,,,,,,,,,,
prisma-candle-beige,Prisma Candle Beige,"<p><span>Die Prisma Objekt Kerze </span><span>verzaubert</span><span> mit ihrem minimalistisch geometrischen Design. Die Kerze ist nicht bloß ein einfacher Lichtspender</span><span> -</span><span> sie spielt mit der Vergänglichkeit der Form. </span><span>Ob Du sie anzündest bleibt letztlich Dir überlassen, doch eins sei gesagt: Sie ist auch beim Dahinschmelzen ein wahres Erlebnis.</span><br></p>
<p><span>Wie in all unseren Kerzen kommt auch hier nach dem Abbrennen eine Glücksmünze zum Vorschein, die Weisheiten nach dem Glückskeks-Prinzip beinhaltet.</span></p>
<p><strong>Material: </strong><span>Rapswachs Komposition mit Paraffinanteil, </span>Baumwolldocht<strong><br></strong><strong>Farbe:</strong> naturbelassen und ungefärbt<br><strong>Größe:</strong> 10cm<br><strong>Brenndauer: </strong>40h<br><strong data-mce-fragment=""1"">Geruchsneutral</strong><br></p>",Candles of Wisdom,,Candle Object,"candle, coin, free, handmade, Kerze, noplastic, Raute, sustainable",true,Title,Default Title,,,,,PRSM-BEIGE,500.0,shopify,-2,deny,manual,39.90,,true,true,'633710796620,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/PrismaCandleofWisdom.png?v=1650309281,1,,false,Prisma Candle Beige - Candles of Wisdom,,,,,,,,,,,,,,,,kg,,4.00,active
prisma-candle-beige,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/IMG_2458_ED.jpg?v=1650309281,2,,,,,,,,,,,,,,,,,,,,,,
prisma-candle-beige,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/IMG_2462_ED_80d95656-008c-49a9-899b-a40bf4b57fa8.jpg?v=1650309281,3,,,,,,,,,,,,,,,,,,,,,,
prisma-candle-beige,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/IMG_2523.jpg?v=1650309281,4,,,,,,,,,,,,,,,,,,,,,,
prisma-candle-beige,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom_Coin_of_Wisdom.jpg?v=1650309281,5,,,,,,,,,,,,,,,,,,,,,,
prisma-candle-beige,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom-Verpackung_d3fb9207-840e-4d92-bebf-235e1965875f.jpg?v=1650309281,6,,,,,,,,,,,,,,,,,,,,,,
prismacandle,Prisma Candle Lavendel,"<p><span></span><span>Die Prisma Objekt Kerze </span><span>verzaubert</span><span> mit ihrem minimalistisch geometrischen Design. Die Kerze ist nicht bloß ein einfacher Lichtspender</span><span> -</span><span> sie spielt mit der Vergänglichkeit der Form. </span><span>Ob Du sie anzündest bleibt letztlich Dir überlassen, doch eins sei gesagt: Sie ist auch beim Dahinschmelzen ein wahres Erlebnis.</span></p>
<p><span>Wie in all unseren Kerzen kommt auch hier nach dem Abbrennen eine Glücksmünze zum Vorschein, die Weisheiten nach dem Glückskeks-Prinzip beinhaltet.</span></p>
<p><strong>Material: </strong><span>Rapswachs Komposition mit Paraffinanteil, </span>Baumwolldocht<strong><br></strong><strong>Farbe:</strong> Lavendel durchgefärbt, RAL Kerzengüte Qualität<br><strong>Größe:</strong> 10cm<br><strong>Brenndauer: </strong>40h<br><strong data-mce-fragment=""1"">Geruchsneutral</strong><br></p>",Candles of Wisdom,,Candle Object,"candle, coin, free, handmade, Kerze, noplastic, Raute, sustainable",true,Title,Default Title,,,,,PRSM-LAV,500.0,shopify,1,deny,manual,39.90,,true,true,'633710796637,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Prisma-Candle-of-Wisdom-Lavendel.png?v=1648379917,1,,false,Prisma Candle Lavendel - Candles of Wisdom,,,,,,,,,,,,,,,,kg,,4.00,active
